Hunter_2018	Hunter_2018_EpistemicGraphsRepresentingReasoning
Hunter_2021	Hunter_2021_ProbabilisticArgumentationSurvey
Idrissou_2017	Idrissou_2017_LenticularLensesContextSpecificIdentity
Ioannidis_2005	Ioannidis_2005_WhyMostPublishedResearch
Jain2010OntologyAF	Jain_2010_OntologyAlignmentLinkedOpen
Jrvisalo_2025	Järvisalo_2025_ICCMA20235thInternational
Jsang_2001	Josang_2001_LogicUncertainProbabilities
Juty2020UniquePR	Juty_2020_UniquePersistentResolvableIdentifiers
Jøsang2016SubjectiveL	Josang_2016_SubjectiveLogic
Kallem_2006	Kallem_2006_Microtheories
Karacapilidis_2001	Karacapilidis_2001_ComputerSupportedArgumentationCollaborative
Kennedy_1997	Kennedy_1997_RelationalParametricityUnitsMeasure
Klein2018ManyL2	Klein_2018_ManyLabs2Investigating
Klein_2003	Klein_2003_ComponentBasedFrameworkOntologyEvolution
Knuth1970SimpleWP	Knuth_1970_SimpleWordProblems
Kraus1990NonmonotonicRP	Kraus_1990_NonmonotonicReasoningPreferentialModels
Kuhn_2014	Kuhn_2014_TrustyURIs
Kuhn_2015	Kuhn_2015_DigitalArtifactsVerifiable
Kuhn_2017	Kuhn_2017_ReliableGranularReferences
Lebo_2013	Moreau_2013_PROV-O
Lehmann1989WhatDA	Lehmann_1989_DoesConditionalKnowledgeBase
Lehtonen_2020	Lehtonen_2020_AnswerSetProgrammingApproach
Leite_2011	Leite_2011_SocialAbstractArgumentation
Lin_2022	Lin_2022_TeachingModelsExpressUncertainty
Mahmood_2025	Mahmood_2025_Structure-AwareEncodingsArgumentationProperties
Manakul_2023	Manakul_2023_SelfCheckGPTZero-ResourceBlack-BoxHallucination
Margoni_2024	Margoni_2024_SubjectiveLogicMetaAnalysis
Mason1989DATMSAF	Mason_1989_DATMSFrameworkDistributedAssumption
Mayer_2020	Mayer_2020_Transformer-BasedArgumentMiningHealthcare
McBurney_2009	McBurney_2009_DialogueGamesAgentArgumentation
McCarthy_1980	McCarthy_1980_CircumscriptionFormNon-MonotonicReasoning
McCarthy_1993	McCarthy_1993_FormalizingContext
McCarthy_1998	McCarthy_1997_FormalizingContextExpanded
McCrae2011LinkingLR	McCrae_2011_LinkingLexicalResourcesOntologies
McCrae_2016	Cimiano_2016_OntoLexLemonCommunityReport
McCusker_2010	McCusker_2010_TowardsIdentityLinkedData
Melo2013NotQT	Melo_2013_NotQuiteSameIdentity
Modgil_2009	Modgil_2009_ReasoningAboutPreferencesArgumentation
Modgil_2011	Modgil_2011_RevisitingPreferencesArgumentation
Modgil_2014	Modgil_2014_ASPICFrameworkStructuredArgumentation
Moore_1985	Moore_1985_SemanticalConsiderationsNonmonotonicLogic
Morris_2020	Morris_2020_DefeasibleDisjunctiveDatalog
Moura_2008	Moura_2008_ProofsRefutationsZ3
Moura_2008	Moura_2008_Z3EfficientSMTSolver
Narayanan_2014	Narayanan_2014_BridgingTextKnowledgeFrames
Niskanen_2020	Niskanen_2020_ToksiaEfficientAbstractArgumentation
Nosek2019WhatIR	Nosek_2020_WhatIsReplication
Odekerken_2022	Odekerken_2022_StabilityRelevanceIncompleteArgumentation
Odekerken_2025	Odekerken_2025_ArgumentativeReasoningASPICIncompleteInformation
Oikarinen2011CharacterizingSE	Oikarinen_2010_CharacterizingStrongEquivalenceArgumentation
Pearl_2000	Pearl_2000_CausalityModelsReasoningInference
Pierce2002TAPL	Pierce_2002_TypesProgrammingLanguages
Potyka_2019	Potyka_2019_PolynomialTimeEpistemicProbabilistic
Prakken_2006	Prakken_2006_FormalSystemsPersuasionDialogue
Prakken_2012	Prakken_2012_AppreciationJohnPollock'sWork
Prakken_2013	Prakken_2013_FormalisationArgumentationSchemesLegalCaseBasedReasoningASPICPlus
Pustejovsky_1991	Pustejovsky_1991_GenerativeLexicon
Pustejovsky_2013	Pustejovsky_2013_DynamicEventStructureHabitat
Raad_2018	Raad_2018_DetectingErroneousIdentityLinks
Raad_2019	Raad_2019_SameAsProblemSurvey
Raff_2021	Raff_2021_QuantifyingReproducibleMLResearch
Rahwan_2009	Rahwan_2009_ArgumentationArtificialIntelligence
Roddick_1995	Roddick_1995_SurveySchemaVersioningIssues
Rotstein_2008	Rotstein_2008_ArgumentTheoryChangeRevision
Saltelli2008GlobalSA	Saltelli_2008_GlobalSensitivityAnalysisPrimer
Sarkar_2004	Sarkar_2004_Nanopass
Sebastiani_2015	Sebastiani_2015_OptiMathSATToolOptimizationModulo
Sensoy_2018	Sensoy_2018_EvidentialDeepLearningQuantify
